gid,no_cidade,nome_da_nidade,valor,taxa
8187,Belford Roxo,<i>Belford Roxo</i>,<b>12</b>,12
10181,Pauini,<i>Pauini</i>,<b>2</b>,2
8916,Abreulândia,<i>Abreulândia</i>,<b>0</b>,0
10020,Toritama,<i>Toritama</i>,<b>5</b>,5
8546,Jaborandi,<i>Jaborandi</i>,<b>1</b>,1
6097,Sertaneja,<i>Sertaneja</i>,<b>0</b>,0
8054,Pau Brasil,<i>Pau Brasil</i>,<b>1</b>,1
7247,Palmácia,<i>Palmácia</i>,<b>0</b>,0
6398,Tangará,<i>Tangará</i>,<b>1</b>,1
7660,São Miguel do Araguaia,<i>São Miguel do Araguaia</i>,<b>2</b>,2
10982,Sem-Peixe,<i>Sem-Peixe</i>,<b>0</b>,0
5618,Curuçá,<i>Curuçá</i>,<b>6</b>,6
5947,Marumbi,<i>Marumbi</i>,<b>0</b>,0
10576,Itacarambi,<i>Itacarambi</i>,<b>2</b>,2
7277,São Gonçalo do Amarante,<i>São Gonçalo do Amarante</i>,<b>6</b>,6
10802,Pingo-d'Água,<i>Pingo-d'Água</i>,<b>0</b>,0
6639,Cacimba de Dentro,<i>Cacimba de Dentro</i>,<b>4</b>,4
6752,Pedro Régis,<i>Pedro Régis</i>,<b>2</b>,2
5580,Almeirim,<i>Almeirim</i>,<b>2</b>,2
8136,Serrinha,<i>Serrinha</i>,<b>5</b>,5
9336,Caiçara,<i>Caiçara</i>,<b>1</b>,1
6040,Rio Bonito do Iguaçu,<i>Rio Bonito do Iguaçu</i>,<b>1</b>,1
6605,Aparecida,<i>Aparecida</i>,<b>0</b>,0
8021,Monte Santo,<i>Monte Santo</i>,<b>3</b>,3
9136,Governador Nunes Freire,<i>Governador Nunes Freire</i>,<b>8</b>,8
10269,Bandeira do Sul,<i>Bandeira do Sul</i>,<b>0</b>,0
8096,Salinas da Margarida,<i>Salinas da Margarida</i>,<b>2</b>,2
7635,Rialma,<i>Rialma</i>,<b>1</b>,1
8749,Restinga,<i>Restinga</i>,<b>1</b>,1
5880,Inácio Martins,<i>Inácio Martins</i>,<b>0</b>,0
6502,Lajes Pintadas,<i>Lajes Pintadas</i>,<b>3</b>,3
10993,Serra Azul de Minas,<i>Serra Azul de Minas</i>,<b>0</b>,0
10990,Senhora dos Remédios,<i>Senhora dos Remédios</i>,<b>0</b>,0
6185,Capão Alto,<i>Capão Alto</i>,<b>1</b>,1
6224,Frei Rogério,<i>Frei Rogério</i>,<b>0</b>,0
10189,Silves,<i>Silves</i>,<b>0</b>,0
5901,Jaguapitã,<i>Jaguapitã</i>,<b>2</b>,2
8042,Nova Viçosa,<i>Nova Viçosa</i>,<b>1</b>,1
7606,Novo Brasil,<i>Novo Brasil</i>,<b>2</b>,2
6309,Ouro,<i>Ouro</i>,<b>1</b>,1
7531,Divinópolis de Goiás,<i>Divinópolis de Goiás</i>,<b>3</b>,3
8775,Salesópolis,<i>Salesópolis</i>,<b>1</b>,1
6283,Luzerna,<i>Luzerna</i>,<b>1</b>,1
5595,Bom Jesus do Tocantins,<i>Bom Jesus do Tocantins</i>,<b>2</b>,2
6555,São Bento do Trairí,<i>São Bento do Trairí</i>,<b>1</b>,1
8318,Atibaia,<i>Atibaia</i>,<b>5</b>,5
8542,Itobi,<i>Itobi</i>,<b>0</b>,0
8414,Cosmorama,<i>Cosmorama</i>,<b>0</b>,0
6758,Rio Tinto,<i>Rio Tinto</i>,<b>0</b>,0
9941,Jucati,<i>Jucati</i>,<b>1</b>,1
8161,Umburanas,<i>Umburanas</i>,<b>1</b>,1
10962,São Pedro dos Ferros,<i>São Pedro dos Ferros</i>,<b>0</b>,0
10810,Pirapora,<i>Pirapora</i>,<b>4</b>,4
8022,Morpará,<i>Morpará</i>,<b>2</b>,2
9559,Novo Machado,<i>Novo Machado</i>,<b>2</b>,2
11019,Tiros,<i>Tiros</i>,<b>0</b>,0
6916,Belém do Piauí,<i>Belém do Piauí</i>,<b>1</b>,1
10648,Lavras,<i>Lavras</i>,<b>4</b>,4
6022,Quatro Barras,<i>Quatro Barras</i>,<b>4</b>,4
8906,Vera Cruz,<i>Vera Cruz</i>,<b>0</b>,0
10528,Grupiara,<i>Grupiara</i>,<b>0</b>,0
6791,São Sebastião de Lagoa de Roça,<i>São Sebastião de Lagoa de Roça</i>,<b>3</b>,3
10950,São José da Barra,<i>São José da Barra</i>,<b>1</b>,1
10106,Piaçabuçu,<i>Piaçabuçu</i>,<b>1</b>,1
9697,Senador Salgado Filho,<i>Senador Salgado Filho</i>,<b>0</b>,0
7000,Juazeiro do Piauí,<i>Juazeiro do Piauí</i>,<b>1</b>,1
6699,Lastro,<i>Lastro</i>,<b>0</b>,0
9894,Catende,<i>Catende</i>,<b>1</b>,1
9985,Salgueiro,<i>Salgueiro</i>,<b>2</b>,2
10995,Serra dos Aimorés,<i>Serra dos Aimorés</i>,<b>0</b>,0
8878,Terra Roxa,<i>Terra Roxa</i>,<b>1</b>,1
6760,Salgado de São Félix,<i>Salgado de São Félix</i>,<b>3</b>,3
